"analysis","N","deaths","term","HR","CI_low","CI_high","p"
"Age >=65 interactions",2623,220,"smokingFormer",1.20471576625719,0.788003898467952,1.84179301687513,0.389826574067915
"Age >=65 interactions",2623,220,"smokingCurrent",2.43798231022115,1.2357928233242,4.80967168021169,0.0101488066447305
"Age >=65 interactions",2623,220,"alcoholFormer/light lifetime",1.5867542297631,0.989807703968704,2.54371528487384,0.055180400424759
"Age >=65 interactions",2623,220,"alcoholPast-year drinker",1.33601762442623,0.831589711391553,2.14642277114112,0.231068314300725
"Age >=65 interactions",2623,220,"phys_active",0.691658870428449,0.461332615193625,1.0369784777553,0.07438136465425
"Age >=65 interactions",2623,220,"diabetes",1.72486813857186,1.14751484721926,2.59270727753108,0.00874822709555273
"Age >=65 interactions",2623,220,"hypertension",1.77383657673765,1.34855702738248,2.33323184491471,4.16324672720545e-05
"Age >=65 interactions",2623,220,"cvd",1.20480456663216,0.713607532968407,2.0341069519539,0.4856407751629
"Age >=65 interactions",2623,220,"cancer",1.27781743521179,0.883658507278589,1.84779231375234,0.192662877959466
"Age >=65 interactions",2623,220,"vcf_grade2:older65",0.766308487599945,0.240553259673463,2.44115876444511,0.652520873464512
"Age >=65 interactions",2623,220,"older65:low_grip",1.68613618116536,0.219806774197323,12.9343384971505,0.615258890434001
"VCF x low-grip interaction",2623,220,"vcf_grade2",1.51753922946697,0.913703035363953,2.52043084441969,0.107105751061849
"VCF x low-grip interaction",2623,220,"low_grip",1.59926160556984,1.07773816788519,2.37315310829958,0.0197120889978298
"VCF x low-grip interaction",2623,220,"age10",1.96853339801508,1.64891506211466,2.35010512556731,6.74857675128029e-14
"VCF x low-grip interaction",2623,220,"female",0.79753594529729,0.560379152799041,1.13505932700059,0.208963435005465
"VCF x low-grip interaction",2623,220,"race2",0.741783772452001,0.312840855120176,1.75885967599005,0.497707916446382
"VCF x low-grip interaction",2623,220,"race3",1.56392237927752,1.00947445438442,2.4228975758446,0.0452610797852728
"VCF x low-grip interaction",2623,220,"race4",1.35530907763615,0.871436108349591,2.10785699413095,0.177247911156739
"VCF x low-grip interaction",2623,220,"race5",0.720326041097817,0.225784040439236,2.29807919317174,0.579418765275517
"VCF x low-grip interaction",2623,220,"education2",0.713630966156094,0.25677483629721,1.98332968759998,0.51766906192137
"VCF x low-grip interaction",2623,220,"education3",1.01159456984054,0.590996492326957,1.73152224593025,0.966467918166817
"VCF x low-grip interaction",2623,220,"education4",1.01910343279056,0.53935280774581,1.9255889499605,0.953518700275395
"VCF x low-grip interaction",2623,220,"education5",1.18660309250926,0.578466668053731,2.43406746993717,0.640678599311603
"VCF x low-grip interaction",2623,220,"INDFMPIR",0.827074116934674,0.718347414572842,0.952257335414837,0.00828309634432825
"VCF x low-grip interaction",2623,220,"bmi",0.984111993096959,0.945964124923683,1.0237982492575,0.427200017852636
"VCF x low-grip interaction",2623,220,"smokingFormer",1.21202186312955,0.796513200601151,1.84428455874344,0.36930429420255
"VCF x low-grip interaction",2623,220,"smokingCurrent",2.45943180468237,1.23774861959035,4.88694126266537,0.0102037490729049
"VCF x low-grip interaction",2623,220,"alcoholFormer/light lifetime",1.6083946567472,0.996787905029473,2.59526962436053,0.0515562725665062
"VCF x low-grip interaction",2623,220,"alcoholPast-year drinker",1.32129241116713,0.817941016524972,2.13440040361949,0.254842413154414
"VCF x low-grip interaction",2623,220,"phys_active",0.689926723589135,0.460642318761936,1.03333728694701,0.0717205761576883
"VCF x low-grip interaction",2623,220,"diabetes",1.72512022358621,1.14499864313113,2.59916446511047,0.00912159110774992
"VCF x low-grip interaction",2623,220,"hypertension",1.78397278736673,1.36880877224318,2.32505735687938,1.84525129788932e-05
"VCF x low-grip interaction",2623,220,"cvd",1.21127375791652,0.715613484156972,2.05024660532442,0.475334384468126
"VCF x low-grip interaction",2623,220,"cancer",1.28359631953963,0.892496564573869,1.84607938779279,0.178115620464024
"VCF x low-grip interaction",2623,220,"vcf_grade2:low_grip",1.75357526409647,0.500252782523654,6.14694473329714,0.380128442580352
"Men",1281,117,"vcf_grade2",2.51302681241771,1.45573962204712,4.33820970748154,0.000939433487797963
"Men",1281,117,"low_grip",2.00949102689238,1.10619002798892,3.65041637059619,0.0219427993274134
"Men",1281,117,"age10",2.02004729543564,1.60264699844481,2.54615712615229,2.61814473620504e-09
"Men",1281,117,"race2",0.697619031051128,0.166934711124304,2.91534522213492,0.621648847913185
"Men",1281,117,"race3",1.76702721522127,0.804255815574148,3.88232838217476,0.156314788629983
"Men",1281,117,"race4",1.07259966960874,0.390647063350575,2.94503698908474,0.89181949600398
"Men",1281,117,"race5",0.915036725742054,0.165937456824321,5.04583007044145,0.918812240085542
"Men",1281,117,"education2",1.23193825870556,0.282087292469916,5.38014974008211,0.781519340139889
"Men",1281,117,"education3",1.30621438756303,0.612575314320952,2.78528368086137,0.489279778150649
"Men",1281,117,"education4",1.22590914787897,0.532657395256378,2.82142565228066,0.6319871793376
"Men",1281,117,"education5",2.80963443635128,0.991160570848852,7.96444682940764,0.0519801562323675
"Men",1281,117,"INDFMPIR",0.697182286969406,0.568046065085718,0.855675571294635,0.000557802649066112
"Men",1281,117,"bmi",1.01014574965073,0.938404452294725,1.08737169036465,0.78825828019042
"Men",1281,117,"smokingFormer",1.12088359663472,0.554383621195503,2.26626471123995,0.750708063243855
"Men",1281,117,"smokingCurrent",4.7319129396903,1.4417980608494,15.5299141237694,0.0103641875576706
"Men",1281,117,"alcoholFormer/light lifetime",1.45293172127949,0.699756270535802,3.01677980689447,0.316240707736161
"Men",1281,117,"alcoholPast-year drinker",1.09054482623236,0.539825260874058,2.20309812122635,0.809092655475209
"Men",1281,117,"phys_active",0.843783268729194,0.543120294366631,1.31088860418593,0.449842719637054
"Men",1281,117,"diabetes",1.40649458390007,0.759674795235316,2.60404455557521,0.27775301330042
"Men",1281,117,"hypertension",2.483591382777,1.32805208433095,4.64456645140664,0.00439514890209439
"Men",1281,117,"cvd",1.01679135722621,0.532048385347038,1.94317789998662,0.95980967035589
"Men",1281,117,"cancer",1.83864343806824,1.10355852533345,3.06337146127334,0.0193695858549056
"Women",1342,103,"vcf_grade2",0.79705950369952,0.332727096138858,1.90938417643206,0.61082200470474
"Women",1342,103,"low_grip",1.81187534625193,1.00610177056355,3.26298230100193,0.0476734437698119
"Women",1342,103,"age10",2.05552473782658,1.53601660867926,2.75073975368666,1.25077518101907e-06
"Women",1342,103,"race2",0.898124162533092,0.358407232082562,2.25058798796771,0.818676166947034
"Women",1342,103,"race3",1.76272572722906,0.687202347102388,4.52152412246095,0.238210306256639
"Women",1342,103,"race4",1.98419556979102,0.882728925770077,4.46006916080576,0.0972874763577183
"Women",1342,103,"race5",0.490909495065602,0.146394664777788,1.64618111398639,0.249095434027335
"Women",1342,103,"education2",0.332536566096905,0.112248694408105,0.985139010966858,0.04692002452602
"Women",1342,103,"education3",0.643685511606032,0.32531588523141,1.27362682445337,0.205758408391809
"Women",1342,103,"education4",0.615275169795545,0.273701086565449,1.38312762772468,0.239918098594219
"Women",1342,103,"education5",0.386333315346337,0.111028611243686,1.34427900047232,0.134928457141058
"Women",1342,103,"INDFMPIR",0.94164500872504,0.756595852485191,1.17195371814986,0.59015165095372
"Women",1342,103,"bmi",0.965034008825976,0.913729657219017,1.01921901169889,0.201605617920608
"Women",1342,103,"smokingFormer",1.45219037035953,0.763521678767871,2.76201309066705,0.255368707556885
"Women",1342,103,"smokingCurrent",1.54428138348501,0.70955808298667,3.36097220024645,0.273412650907143
"Women",1342,103,"alcoholFormer/light lifetime",2.10783006323964,1.06497784684182,4.17186854043238,0.0322952790069218
"Women",1342,103,"alcoholPast-year drinker",2.09490019879904,1.20567926946762,3.63994550960976,0.00870104317798774
"Women",1342,103,"phys_active",0.530355918637753,0.296516938923787,0.948604829980357,0.0325281351194288
"Women",1342,103,"diabetes",2.16562147311381,1.24115804451248,3.77866169868301,0.00651457188636878
"Women",1342,103,"hypertension",1.21970372447822,0.791631477389545,1.87925470120486,0.367835823743535
"Women",1342,103,"cvd",1.50016254446866,0.608861856614728,3.69622047329321,0.378021739264159
"Women",1342,103,"cancer",1.0183023981241,0.605953478397319,1.71125310934411,0.945401762404574
"Exclude top influence observations",2613,214,"vcf_grade2",1.34763832707328,0.789049898717234,2.30166566594756,0.274629422703958
"Exclude top influence observations",2613,214,"low_grip",1.65939019684209,0.960609691421481,2.86648765879195,0.0693846706422377
"Exclude top influence observations",2613,214,"age10",1.9541042336375,1.63062704365051,2.34175151871112,3.99225771750931e-13
"Exclude top influence observations",2613,214,"female",0.902125907325285,0.655751417467405,1.24106655508361,0.526789249114925
"Exclude top influence observations",2613,214,"race2",0.727493047603552,0.312130435052245,1.69559285118389,0.461166504343261
"Exclude top influence observations",2613,214,"race3",1.54406159948952,0.988852312303628,2.41100333523423,0.0560439449570451
"Exclude top influence observations",2613,214,"race4",1.33488016161899,0.865909690462381,2.05784167276432,0.190868750489312
"Exclude top influence observations",2613,214,"race5",0.58973329495045,0.163056073918585,2.13291876110526,0.420748982880792
"Exclude top influence observations",2613,214,"education2",0.744763890000813,0.273257732874227,2.02985381608375,0.564573988265366
"Exclude top influence observations",2613,214,"education3",1.02027943932312,0.591005175667566,1.76135536060184,0.942547207197563
"Exclude top influence observations",2613,214,"education4",1.02191783504381,0.544634075274914,1.91746368615203,0.946163813730533
"Exclude top influence observations",2613,214,"education5",1.23530396636504,0.616687631463215,2.47447137166755,0.551045937658128
"Exclude top influence observations",2613,214,"INDFMPIR",0.814466110759297,0.705732223303231,0.939952893847605,0.00500036105116093
"Exclude top influence observations",2613,214,"bmi",0.975999429729679,0.939744059649646,1.0136535336949,0.208449696010539
"Exclude top influence observations",2613,214,"smokingFormer",1.21540971487942,0.787500598256174,1.87583447973805,0.378280967023143
"Exclude top influence observations",2613,214,"smokingCurrent",2.46539528236588,1.2273700559705,4.95219340633651,0.0112216328938364
"Exclude top influence observations",2613,214,"alcoholFormer/light lifetime",1.73437911303036,1.02016241600971,2.94861961243568,0.0419792784314888
"Exclude top influence observations",2613,214,"alcoholPast-year drinker",1.57403043719331,0.94721913034282,2.61562687856005,0.0799923887912856
"Exclude top influence observations",2613,214,"phys_active",0.639259938003068,0.427739181353977,0.955379554059378,0.02906029754602
"Exclude top influence observations",2613,214,"diabetes",1.83908337542209,1.22991899411321,2.74995969485987,0.00299547665432539
"Exclude top influence observations",2613,214,"hypertension",1.87945035760723,1.43952666955216,2.45381605038889,3.5226141134837e-06
"Exclude top influence observations",2613,214,"cvd",1.27125553054539,0.764783068484979,2.11313598657943,0.354603288788826
"Exclude top influence observations",2613,214,"cancer",1.24974191394906,0.875542526329176,1.7838709194736,0.21947382785691

